x1,y1,z1,x2,y2
-2.404713314,-1.838566248,-0.1591572542,[Horizons] SMALL BODY #C(500@10)_T(712 Boliviana (A911 FF)) (1/1),SMALL
-2.080411009,-1.426453207,-0.3052440427,[Horizons] SMALL BODY #C(500@10)_T(646 Kastalia (A907 RL)) (1/1),SMALL
-0.5537186896,2.803851519,0.2876857577,[Horizons] SMALL BODY #C(500@10)_T(734 Benda (A912 TF)) (1/1),SMALL
-0.2196604292,-3.538896759,-0.04737187824,[Horizons] SMALL BODY #C(500@10)_T(621 Werdandi (A906 VM)) (1/1),SMALL
-0.426033558,-3.168115431,0.1017491533,[Horizons] SMALL BODY #C(500@10)_T(690 Wratislavia (A909 UE)) (1/1),SMALL
2.314497719,2.672774687,-0.1080492808,[Horizons] SMALL BODY #C(500@10)_T(710 Gertrud (A911 DB)) (1/1),SMALL
1.550802519,-2.450583248,0.1125857769,[Horizons] SMALL BODY #C(500@10)_T(747 Winchester (A913 EK)) (1/1),SMALL
-0.05075209559,3.470531252,0.0168083234,[Horizons] SMALL BODY #C(500@10)_T(786 Bredichina (A914 HD)) (1/1),SMALL
1.65705996,-2.016251419,0.03755032727,[Horizons] SMALL BODY #C(500@10)_T(634 Ute (A907 JJ)) (1/1),SMALL
-1.754365601,2.496018704,-0.5659462612,[Horizons] SMALL BODY #C(500@10)_T(682 Hagar (A909 MA)) (1/1),SMALL
0.3636094924,3.143294172,-0.6024054457,[Horizons] SMALL BODY #C(500@10)_T(669 Kypria (A908 QF)) (1/1),SMALL
-2.874629936,2.097515419,1.079047227,[Horizons] SMALL BODY #C(500@10)_T(680 Genoveva (A909 HF)) (1/1),SMALL
-1.122563907,-1.471695124,0.09243504247,[Horizons] SMALL BODY #C(500@10)_T(730 Athanasia (A912 GG)) (1/1),SMALL
-3.058182018,-1.014396808,-0.9724098541,[Horizons] SMALL BODY #C(500@10)_T(790 Pretoria (A912 BE)) (1/1),SMALL
29.24608211,-6.351748715,-0.5432916818,[Horizons] MAJOR BODY #C(500@10)_T(899) (1/1),BIG
2.655617008,-2.575983878,-0.08433884875,[Horizons] SMALL BODY #C(500@10)_T(778 Theobalda (A914 BG)) (1/1),SMALL
